Locus_Tag,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_siignificance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_recovery_6hours_significance,Recovery_15hours_vs_initial_encounter_ratio,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,min,max,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_protein_id,Genbank_product,PATRIC_id,PATRIC_product,PATRIC_class,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Locus_Tag
TM7x_00225,-0.37,2.87E-02,no,0.12,7.42E-01,no,-0.25,1.13E-01,no,0.41,1.58E-02,no,0.05,7.66E-01,no,TM7x_00225,39732,42125,forward,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)",K00525,F: Nucleotide metabolism and transport,,TM7x001_00045,AJA06281.1,ribonucleotide-diphosphate reductase subunit alpha,fig|1476577.3.peg.39,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)",Metabolism,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,nrdA,1.17.4.1,K00525,"ko00230,ko00240,ko01100,map00230,map00240,map01100",M00053,"R02017,R02018,R02019,R02024",RC00613,F: Nucleotide metabolism and transport,"GO:0000166,GO:0003674,GO:0003824,GO:0004748,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005971,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009165,GO:0009262,GO:0009263,GO:0009987,GO:0016491,GO:0016725,GO:0016728,GO:0018130,GO:0019438,GO:0019637,GO:0032991,GO:0034641,GO:0034654,GO:0036094,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046483,GO:0055086,GO:0055114,GO:0061731,GO:0071704,GO:0090407,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990204",TM7x_00225
TM7x_00230,-0.32,4.75E-02,no,0.15,4.71E-01,no,-0.17,2.67E-01,no,0.35,1.58E-02,no,0.04,8.00E-01,no,TM7x_00230,42139,43116,forward,ribonucleotide-diphosphate reductase subunit beta,K00526,F: Nucleotide metabolism and transport,,TM7x001_00046,AJA06282.1,ribonucleotide-diphosphate reductase subunit beta,fig|1476577.3.peg.40,"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)",Metabolism,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,nrdB,1.17.4.1,K00526,"ko00230,ko00240,ko01100,map00230,map00240,map01100",M00053,"R02017,R02018,R02019,R02024",RC00613,F: Nucleotide metabolism and transport,,TM7x_00230
TM7x_00235,-0.52,1.38E-02,initial,0.08,9.18E-01,no,-0.44,3.14E-02,no,0.31,6.90E-02,no,-0.21,2.70E-01,no,TM7x_00235,43132,43527,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00047,AJA06691.1,hypothetical protein,fig|1476577.3.peg.41,hypothetical protein,,,,,,,,,,,,TM7x_00235
TM7x_00240,-0.68,1.41E-03,initial,0.17,5.22E-01,no,-0.51,8.12E-03,initial,0.28,1.06E-01,no,-0.40,2.76E-02,no,TM7x_00240,43579,43758,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00048,AJA06692.1,hypothetical protein,fig|1476577.3.peg.42,hypothetical protein,,,,,,,,,,,,TM7x_00240
TM7x_00250,-1.04,1.22E-04,initial,0.09,9.42E-01,no,-0.95,2.43E-04,initial,0.29,1.78E-01,no,-0.75,1.23E-03,initial,TM7x_00250,44053,45684,forward,argS arginyl-tRNA synthetase [EC:6.1.1.19],K01887,J: Translation,,TM7x001_00050,AJA06693.1,hypothetical protein,fig|1476577.3.peg.44,Arginyl-tRNA synthetase (EC 6.1.1.19),Protein Processing,Arginyl-tRNA synthetase,argS,6.1.1.19,K01887,"ko00970,map00970","M00359,M00360",R03646,"RC00055,RC00523",J: Translation,"GO:0003674,GO:0003824,GO:0004812,GO:0004814,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006420,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",TM7x_00250
TM7x_00255,-1.06,4.30E-05,initial,0.05,9.86E-01,no,-1.01,6.33E-05,initial,0.20,2.88E-01,no,-0.87,1.98E-04,initial,TM7x_00255,45739,46173,forward,mechanosensitive ion channel protein MscL,,M: Cell wall/membrane/envelop biogenesis,other,TM7x001_00051,AJA06283.1,mechanosensitive ion channel protein MscL,fig|1476577.3.peg.45,hypothetical protein,,,,,,,,,,,,TM7x_00255
TM7x_00260,-1.55,8.57E-09,initial,0.10,5.40E-01,no,-1.45,1.76E-08,initial,0.26,1.99E-02,no,-1.29,5.78E-08,initial,TM7x_00260,46237,48783,forward,hypothetical protein,K03578,L: Replication and repair,,TM7x001_00052,AJA06694.1,hypothetical protein,fig|1476577.3.peg.46,hypothetical protein,,Helicase,hrpA,3.6.4.13,K03578,,,,,L: Replication and repair,"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0070035,GO:0071704,GO:0090304,GO:0140098,GO:1901360",TM7x_00260
TM7x_00265,-2.06,5.30E-07,initial,0.10,9.17E-01,no,-1.96,6.85E-07,initial,0.32,8.19E-02,no,-1.73,1.78E-06,initial,TM7x_00265,48803,49354,forward,3'-to-5' oligoribonuclease (orn),K13288,L: Replication and repair,,TM7x001_00053,AJA06284.1,oligoribonuclease,fig|1476577.3.peg.47,3'-to-5' oligoribonuclease (orn),,3'-to-5' exoribonuclease specific for small oligoribonucleotides,orn,,K13288,"ko03008,map03008",,,,L: Replication and repair,"GO:0000175,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0034641,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0140098,GO:1901360",TM7x_00265
TM7x_00270,-1.62,3.99E-06,initial,0.08,9.30E-01,no,-1.54,5.60E-06,initial,0.26,1.44E-01,no,-1.36,1.48E-05,initial,TM7x_00270,49351,49689,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00054,AJA06285.1,hypothetical protein,fig|1476577.3.peg.48,hypothetical protein,,YjbR,yyaQ,,,,,,,S: Function Unknown,,TM7x_00270
TM7x_00275,-0.73,6.39E-04,initial,0.28,1.26E-01,no,-0.45,1.33E-02,no,0.36,2.17E-02,no,-0.37,3.32E-02,no,TM7x_00275,49686,50297,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00055,AJA06695.1,hypothetical protein,fig|1476577.3.peg.49,hypothetical protein,,,,,,,,,,,,TM7x_00275
TM7x_00280,-1.28,5.18E-05,initial,-0.03,9.98E-01,no,-1.30,4.09E-05,initial,0.15,5.49E-01,no,-1.12,1.32E-04,initial,TM7x_00280,50351,52084,forward,DNA primase,K02316,L: Replication and repair,,TM7x001_00056,AJA06286.1,DNA primase,fig|1476577.3.peg.51,DNA primase DnaG,Cellular Processes,RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication,dnaG,,K02316,"ko03030,map03030",,,,L: Replication and repair,"GO:0003674,GO:0003824,GO:0003896,GO:0003899,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006269,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0032774,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0040007,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0071704,GO:0071944,GO:0090304,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576",TM7x_00280
TM7x_00285,-0.55,1.51E-04,initial,0.05,9.25E-01,no,-0.50,3.02E-04,no,-0.04,8.51E-01,no,-0.58,9.44E-05,initial,TM7x_00285,52081,53040,forward,RNA polymerase sigma factor rpoD,K03086,K: Transcription,,TM7x001_00057,AJA06287.1,RNA polymerase sigma factor rpoD,fig|1476577.3.peg.52,RNA polymerase sigma factor RpoD,Cellular Processes,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth,sigA,,K03086,"ko02026,ko05111,map02026,map05111",,,,K: Transcription,"GO:0000988,GO:0000990,GO:0001098,GO:0001101,GO:0001108,GO:0001666,GO:0002791,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006355,GO:0006950,GO:0008150,GO:0009266,GO:0009405,GO:0009408,GO:0009410,GO:0009415,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0010035,GO:0010468,GO:0010556,GO:0010557,GO:0010565,GO:0010604,GO:0010628,GO:0016020,GO:0016987,GO:0019216,GO:0019217,GO:0019219,GO:0019222,GO:0019899,GO:0030312,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032879,GO:0032880,GO:0036293,GO:0040007,GO:0042221,GO:0043175,GO:0043254,GO:0044087,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050708,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051049,GO:0051128,GO:0051171,GO:0051173,GO:0051223,GO:0051252,GO:0051254,GO:0051704,GO:0060255,GO:0062012,GO:0065007,GO:0070063,GO:0070201,GO:0070482,GO:0071944,GO:0080090,GO:0090087,GO:0097159,GO:0140110,GO:1901363,GO:1901700,GO:1902680,GO:1903506,GO:1903508,GO:1903530,GO:2000112,GO:2000142,GO:2001141",TM7x_00285
TM7x_00290,-0.59,4.48E-03,initial,0.19,4.26E-01,no,-0.40,3.46E-02,no,0.10,6.72E-01,no,-0.49,1.26E-02,no,TM7x_00290,53041,53628,reverse,coaE dephospho-CoA kinase [EC:2.7.1.24],K00859,H: Coenzyme metabolism,,TM7x001_00058,AJA06288.1,dephospho-CoA kinase,fig|1476577.3.peg.53,"Dephospho-CoA kinase archaeal, predicted ",,dephospho-CoA kinase activity,coaE,2.7.1.24,K00859,"ko00196,ko00770,ko01100,map00196,map00770,map01100",M00120,R00130,"RC00002,RC00078",H: Coenzyme metabolism,,TM7x_00290
TM7x_00295,-0.31,8.63E-02,no,0.08,9.18E-01,no,-0.22,2.00E-01,no,0.18,3.17E-01,no,-0.13,4.63E-01,no,TM7x_00295,53691,54362,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00059,AJA06696.1,hypothetical protein,fig|1476577.3.peg.54,hypothetical protein,,,,,,,,,,,,TM7x_00295
TM7x_00300,-0.37,1.52E-01,no,-0.15,8.26E-01,no,-0.52,5.19E-02,no,0.02,9.77E-01,no,-0.35,1.74E-01,no,TM7x_00300,54379,56913,forward,hypothetical protein,K02335,L: Replication and repair,,TM7x001_00060,AJA06289.1,hypothetical protein,fig|1476577.3.peg.55,DNA polymerase I (EC 2.7.7.7),,"In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity",polA,2.7.7.7,K02335,"ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440",,"R00375,R00376,R00377,R00378",RC02795,L: Replication and repair,"GO:0003674,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0030312,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901362,GO:1901576",TM7x_00300
TM7x_00305,0.33,4.34E-02,no,0.01,9.98E-01,no,0.34,3.69E-02,no,-0.06,7.72E-01,no,0.27,9.03E-02,no,TM7x_00305,56934,57578,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00061,AJA06697.1,hypothetical protein,fig|1476577.3.peg.56,hypothetical protein,,,,,,,,,,,,TM7x_00305
TM7x_00310,0.40,4.24E-02,no,-0.06,9.54E-01,no,0.34,7.76E-02,no,-0.09,6.84E-01,no,0.31,1.04E-01,no,TM7x_00310,57586,58554,forward,hypothetical protein,K10563,L: Replication and repair,,TM7x001_00062,AJA06698.1,hypothetical protein,fig|1476577.3.peg.57,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),,"Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates",fpg,"3.2.2.23,4.2.99.18",K10563,"ko03410,map03410",,,,L: Replication and repair,"GO:0000702,GO:0000703,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003824,GO:0003906,GO:0004518,GO:0004519,GO:0005488,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006285,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008270,GO:0008534,GO:0009987,GO:0016787,GO:0016788,GO:0016798,GO:0016799,GO:0019104,GO:0033554,GO:0034641,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0046872,GO:0046914,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901363",TM7x_00310
TM7x_00315,-0.07,5.93E-01,no,0.04,9.93E-01,no,-0.04,7.89E-01,no,0.00,9.97E-01,no,-0.07,5.95E-01,no,TM7x_00315,58551,59450,forward,hypothetical protein,K02340,L: Replication and repair,,TM7x001_00063,AJA06699.1,hypothetical protein,fig|1476577.3.peg.58,hypothetical protein,,"DNA polymerase III, delta subunit",holA,2.7.7.7,K02340,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,L: Replication and repair,,TM7x_00315
TM7x_00320,-0.68,3.15E-04,initial,0.30,7.50E-02,no,-0.38,1.24E-02,no,0.26,5.41E-02,no,-0.42,7.93E-03,no,TM7x_00320,59503,59871,reverse,30S ribosomal protein S20,K02968,J: Translation,,TM7x001_00064,AJA06290.1,30S ribosomal protein S20,fig|1476577.3.peg.59,SSU ribosomal protein S20p,,Binds directly to 16S ribosomal RNA,rpsT,,K02968,"ko03010,map03010",M00178,,,J: Translation,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0004857,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008073,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030234,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0042979,GO:0043043,GO:0043086,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0050790,GO:0065003,GO:0065007,GO:0065009,GO:0070181,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:0098772,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",TM7x_00320
TM7x_00325,0.45,1.57E-03,no,-0.09,7.42E-01,no,0.36,6.16E-03,no,-0.19,1.24E-01,no,0.26,3.23E-02,no,TM7x_00325,60031,61728,forward,hypothetical protein,K06881,S: Function Unknown,,TM7x001_00065,AJA06700.1,hypothetical protein,fig|1476577.3.peg.60,hypothetical protein,,DHH family,nrnA,"3.1.13.3,3.1.3.7",K06881,"ko00920,ko01100,ko01120,map00920,map01100,map01120",,"R00188,R00508",RC00078,S: Function Unknown,"GO:0008150,GO:0040007",TM7x_00325
TM7x_00330,0.35,1.72E-02,no,-0.22,1.26E-01,no,0.13,3.46E-01,no,-0.32,1.55E-02,no,0.03,8.06E-01,no,TM7x_00330,61732,62388,forward,pseudouridine synthase,K03177,J: Translation,,TM7x001_00066,AJA06291.1,pseudouridine synthase,fig|1476577.3.peg.61,tRNA pseudouridine(55) synthase (EC 5.4.99.25),RNA Processing,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,truB,5.4.99.25,K03177,,,,,J: Translation,"GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016556,GO:0016853,GO:0016866,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1990481",TM7x_00330
TM7x_00335,-1.40,1.53E-02,initial,0.20,9.54E-01,no,-1.20,3.10E-02,initial,0.34,5.63E-01,no,-1.06,5.18E-02,no,TM7x_00335,62427,62693,forward,30S ribosomal protein S15,K02956,J: Translation,,TM7x001_00067,AJA06292.1,30S ribosomal protein S15,fig|1476577.3.peg.62,SSU ribosomal protein S15p (S13e),,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,rpsO,,K02956,"ko03010,map03010","M00178,M00179",,,J: Translation,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006139,GO:0006378,GO:0006396,GO:0006397,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0016043,GO:0016070,GO:0016071,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0031123,GO:0031124,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043631,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",TM7x_00335
TM7x_00340,-2.29,2.14E-01,no,0.16,9.98E-01,no,-2.14,2.38E-01,no,0.06,9.95E-01,no,-2.24,2.25E-01,no,TM7x_00340,62755,63354,reverse,hypothetical protein,K07284,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00068,AJA06701.1,hypothetical protein,fig|1476577.3.peg.63,hypothetical protein,,"PFAM peptidase C60, sortase A and B",ylcC,3.4.22.70,K07284,,,,,M: Cell wall/membrane/envelop biogenesis,,TM7x_00340
TM7x_00345,0.96,5.59E-05,recovery,-0.46,2.91E-02,no,0.50,6.00E-03,no,-0.52,5.67E-03,hour6,0.45,1.19E-02,no,TM7x_00345,63542,65659,forward,polynucleotide phosphorylase,K00962,J: Translation,,TM7x001_00069,AJA06293.1,polynucleotide phosphorylase,fig|1476577.3.peg.64,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),RNA Processing,Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction,pnp,2.7.7.8,K00962,"ko00230,ko00240,ko03018,map00230,map00240,map03018",M00394,"R00437,R00438,R00439,R00440",RC02795,J: Translation,"GO:0000166,GO:0000175,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0004654,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0008408,GO:0009056,GO:0009057,GO:0009266,GO:0009408,GO:0009628,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010629,GO:0016020,GO:0016070,GO:0016071,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0017076,GO:0019001,GO:0019222,GO:0019439,GO:0030312,GO:0030551,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034655,GO:0035438,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0050896,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0097159,GO:0097367,GO:0140098,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901575",TM7x_00345
TM7x_00355,0.60,9.61E-04,recovery,-0.04,9.86E-01,no,0.56,1.52E-03,recovery,-0.13,3.49E-01,no,0.47,4.74E-03,no,TM7x_00355,65845,66618,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00071,AJA06702.1,hypothetical protein,fig|1476577.3.peg.66,hypothetical protein,,,,,,,,,,,,TM7x_00355
TM7x_00360,0.47,7.04E-03,no,0.10,7.51E-01,no,0.57,1.99E-03,recovery,0.06,8.02E-01,no,0.52,3.41E-03,recovery,TM7x_00360,66741,67577,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00072,AJA06703.1,hypothetical protein,fig|1476577.3.peg.67,hypothetical protein,,,,,,,,,,,,TM7x_00360
TM7x_00365,-0.45,1.70E-02,no,-0.22,4.21E-01,no,-0.68,1.59E-03,initial,-0.20,3.17E-01,no,-0.65,2.09E-03,initial,TM7x_00365,67773,69938,forward,beta-lactamase,K12574,S: Function Unknown,,TM7x001_00073,AJA06294.1,beta-lactamase,fig|1476577.3.peg.68,"Zn-dependent hydrolase, RNA-metabolising, CPSF 100 kDa analog",,An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay,rnj,,K12574,"ko03018,map03018",,,,S: Function Unknown,"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004527,GO:0004532,GO:0004534,GO:0004540,GO:0005488,GO:0005515,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008409,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0022613,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042802,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0090503,GO:0140098,GO:1901360",TM7x_00365
TM7x_00370,-0.52,2.99E-04,initial,-0.11,5.40E-01,no,-0.63,6.67E-05,initial,-0.16,1.56E-01,no,-0.68,3.82E-05,initial,TM7x_00370,70045,72258,forward,cell division protein FtsK,K03466,D: Cell cycle control and mitosis,,TM7x001_00074,AJA06295.1,cell division protein FtsK,fig|1476577.3.peg.69,DNA translocase FtsK,DNA Processing,Belongs to the FtsK SpoIIIE SftA family,ftsK,,K03466,,,,,D: Cell cycle control and mitosis,"GO:0000003,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0019954,GO:0030436,GO:0031323,GO:0031326,GO:0032502,GO:0043934,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141",TM7x_00370
TM7x_00375,-0.95,2.03E-04,initial,-0.19,4.71E-01,no,-1.14,4.73E-05,initial,-0.16,3.82E-01,no,-1.11,6.08E-05,initial,TM7x_00375,72303,72920,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00075,AJA06704.1,hypothetical protein,,,,,,,,,,,,,,TM7x_00375
